date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:32	206641/206641	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:46%20GMT	https://colorlib.com/polygon/adminty/default/icon-themify.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/icon-themify.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:33	158762/158762	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:45%20GMT	https://colorlib.com/polygon/adminty/default/icon-simple-line.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/icon-simple-line.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:33	259213/259213	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:44%20GMT	https://colorlib.com/polygon/adminty/default/icon-ion.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/icon-ion.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:33	336561/336561	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:48%20GMT	https://colorlib.com/polygon/adminty/default/icon-material-design.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/icon-material-design.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:34	704079/704079	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:44%20GMT	https://colorlib.com/polygon/adminty/default/icon-icofonts.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/icon-icofonts.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:34	388835/388835	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:51%20GMT	https://colorlib.com/polygon/adminty/default/icon-weather.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/icon-weather.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:34	202040/202040	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:46%20GMT	https://colorlib.com/polygon/adminty/default/icon-typicons.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/icon-typicons.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:34	361494/361494	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:42%20GMT	https://colorlib.com/polygon/adminty/default/icon-flags.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/icon-flags.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:35	159291/159291	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:32%20GMT	https://colorlib.com/polygon/adminty/default/form-elements-component.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/form-elements-component.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:35	151793/151793	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:31%20GMT	https://colorlib.com/polygon/adminty/default/form-elements-add-on.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/form-elements-add-on.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:35	164172/164172	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:32%20GMT	https://colorlib.com/polygon/adminty/default/form-elements-advance.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/form-elements-advance.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:35	130124/130124	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:33%20GMT	https://colorlib.com/polygon/adminty/default/form-validation.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/form-validation.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:36	162049/162049	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:33%20GMT	https://colorlib.com/polygon/adminty/default/form-picker.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/form-picker.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:36	161182/161182	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:33%20GMT	https://colorlib.com/polygon/adminty/default/form-select.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/form-select.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:36	133142/133142	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:32%20GMT	https://colorlib.com/polygon/adminty/default/form-masking.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/form-masking.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:36	183601/183601	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:34%20GMT	https://colorlib.com/polygon/adminty/default/form-wizard.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/form-wizard.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:37	126231/126231	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:13%20GMT	https://colorlib.com/polygon/adminty/default/ready-cloned-elements-form.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/ready-cloned-elements-form.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:37	126083/126083	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:13%20GMT	https://colorlib.com/polygon/adminty/default/ready-currency-form.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/ready-currency-form.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:37	122380/122380	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:14%20GMT	https://colorlib.com/polygon/adminty/default/ready-form-booking.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/ready-form-booking.html	(from https://colorlib.com/polygon/adminty/default/)
